nic,antenna,ssid,distance,rssi,link_quality,channel,link_quality_in_percentage
ampak-ap6212,1,senic-sandbox,0,-44,65,3,93
ampak-ap6212,1,senic-sandbox,1,-39,69,3,99
ampak-ap6212,1,senic-sandbox,2,-40,69,3,99
ampak-ap6212,1,senic-sandbox,3,-50,60,3,85
ampak-ap6212,1,senic-sandbox,4,-55,55,3,78
ampak-ap6212,1,senic-sandbox,5,-52,58,3,82
ampak-ap6212,1,senic-sandbox,6,-58,52,3,74
ampak-ap6212,1,senic-sandbox,7,-49,61,3,88
ampak-ap6212,1,senic-sandbox,8,-47,63,3,89
ampak-ap6212,1,senic-sandbox,9,-52,58,3,82
ampak-ap6212,1,senic-sandbox,10,-58,52,3,73
ampak-ap6212,1,senic-sandbox,11,-62,48,3,69
ampak-ap6212,1,senic-sandbox,12,-63,47,3,67
ampak-ap6212,2,senic-sandbox,11,-65,45,3,64
ampak-ap6212,2,senic-sandbox,12,-60,50,3,71
ampak-ap6212,2,senic-sandbox,10,-48,62,3,89
ampak-ap6212,2,senic-sandbox,9,-47,63,3,89
ampak-ap6212,2,senic-sandbox,8,-47,63,3,90
ampak-ap6212,2,senic-sandbox,7,-56,54,3,78
ampak-ap6212,2,senic-sandbox,6,-47,63,3,90
ampak-ap6212,2,senic-sandbox,5,-42,68,3,97
ampak-ap6212,2,senic-sandbox,4,-51,59,3,84
ampak-ap6212,2,senic-sandbox,3,-46,64,3,92
ampak-ap6212,2,senic-sandbox,2,-36,70,3,100
ampak-ap6212,2,senic-sandbox,1,-39,69,3,99
ampak-ap6212,2,senic-sandbox,0,-34,70,3,100
ampak-ap6212,3,senic-sandbox,0,-44,66,4,94
ampak-ap6212,3,senic-sandbox,1,-41,69,4,98
ampak-ap6212,3,senic-sandbox,2,-39,70,4,100
ampak-ap6212,3,senic-sandbox,3,-56,54,4,77
ampak-ap6212,3,senic-sandbox,4,-47,63,4,89
ampak-ap6212,3,senic-sandbox,5,-47,63,4,90
ampak-ap6212,3,senic-sandbox,6,-46,64,4,91
ampak-ap6212,3,senic-sandbox,7,-50,60,4,86
ampak-ap6212,3,senic-sandbox,8,-58,52,4,74
ampak-ap6212,3,senic-sandbox,9,-56,54,4,77
ampak-ap6212,3,senic-sandbox,10,-55,55,4,78
ampak-ap6212,3,senic-sandbox,11,-59,51,4,72
ampak-ap6212,3,senic-sandbox,12,-65,45,4,64
ampak-ap6212,4,senic-sandbox,11,-62,48,4,68
ampak-ap6212,4,senic-sandbox,10,-62,48,4,68
ampak-ap6212,4,senic-sandbox,9,-58,52,4,74
ampak-ap6212,4,senic-sandbox,8,-59,51,4,73
ampak-ap6212,4,senic-sandbox,7,-55,55,4,79
ampak-ap6212,4,senic-sandbox,6,-42,68,4,97
ampak-ap6212,4,senic-sandbox,5,-44,66,4,94
ampak-ap6212,4,senic-sandbox,4,-46,64,4,91
ampak-ap6212,4,senic-sandbox,3,-48,62,4,88
ampak-ap6212,4,senic-sandbox,2,-43,67,4,96
ampak-ap6212,4,senic-sandbox,1,-53,57,4,81
ampak-ap6212,4,senic-sandbox,0,-41,68,4,98
ampak-ap6212,5,senic-sandbox,1,-37,70,4,100
ampak-ap6212,5,senic-sandbox,2,-37,70,4,100
ampak-ap6212,5,senic-sandbox,3,-46,64,4,91
ampak-ap6212,5,senic-sandbox,4,-52,58,4,83
ampak-ap6212,5,senic-sandbox,5,-53,57,4,82
ampak-ap6212,5,senic-sandbox,6,-50,60,4,86
ampak-ap6212,5,senic-sandbox,7,-41,69,4,98
ampak-ap6212,5,senic-sandbox,8,-46,64,4,91
ampak-ap6212,5,senic-sandbox,9,-47,63,4,90
ampak-ap6212,5,senic-sandbox,10,-48,62,4,88
ampak-ap6212,5,senic-sandbox,11,-61,49,4,70
ampak-ap6212,5,senic-sandbox,12,-63,47,4,68
ampak-ap6212,6,senic-sandbox,11,-58,52,4,74
ampak-ap6212,6,senic-sandbox,10,-53,57,4,81
ampak-ap6212,6,senic-sandbox,9,-56,54,4,76
ampak-ap6212,6,senic-sandbox,8,-58,52,4,74
ampak-ap6212,6,senic-sandbox,7,-48,62,4,88
ampak-ap6212,6,senic-sandbox,6,-40,69,4,99
ampak-ap6212,6,senic-sandbox,5,-48,62,4,88
ampak-ap6212,6,senic-sandbox,4,-42,68,4,97
ampak-ap6212,6,senic-sandbox,3,-42,68,4,97
ampak-ap6212,6,senic-sandbox,2,-34,70,4,100
ampak-ap6212,6,senic-sandbox,1,-36,70,4,100
ampak-ap6212,6,senic-sandbox,0,-45,65,4,93
